title,artist,streams
Paradise,Coldplay,"1,428,570,097"
Every Teardrop Is a Waterfall,Coldplay,"331,050,221"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,"657,854,590"
Who's That Chick? (feat. Rihanna),David Guetta,"293,988,677"
Coming Home,Diddy - Dirty Money,"339,206,552"
Louder (feat. Sian Evans) - Doctor P & Flux Pavillion Remix,DJ Fresh,"10,867,489"
I'm On One,DJ Khaled,"277,418,656"
I Need A Doctor,Dr. Dre,"355,670,228"
Headlines,Drake,"711,850,638"
The A Team,Ed Sheeran,"1,021,025,885"
Lego House,Ed Sheeran,"579,814,660"
Stereo Love - Radio Edit,Edward Maya,"419,960,998"
Tonight (I'm Fuckin' You),Enrique Iglesias,"243,004,419"
Springsteen,Eric Church,"507,106,685"
Changed The Way You Kiss Me - Radio Edit,Example,"125,492,799"
Rocketeer,Far East Movement,"260,982,103"
Shake It Out,Florence + The Machine,"432,736,628"
Pumped Up Kicks,Foster The People,"2,004,777,372"
Tongue Tied,GROUPLOVE,"993,730,225"
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,"1,436,149,495"
Tonight Tonight,Hot Chelle Rae,"383,353,964"
Dirt Road Anthem,Jason Aldean,"394,477,826"
It Girl,Jason Derulo,"382,745,242"
Don't Wanna Go Home,Jason Derulo,"141,297,950"
On The Floor,Jennifer Lopez,"666,819,175"
Down On Me,Jeremih,"434,305,381"
Do It Like A Dude,Jessie J,"130,285,988"
All Of The Lights,Kanye West,"743,498,442"
Last Friday Night (T.G.I.F.),Katy Perry,"1,313,649,261"
Firework,Katy Perry,"1,183,532,006"
E.T.,Katy Perry,"402,856,315"
Motivation,Kelly Rowland,"254,118,089"
Pretty Girl Rock,Keri Hilson,"181,517,266"
We R Who We R,Kesha,"335,750,218"
Blow,Kesha,"199,868,825"
Earthquake (feat. Tinie Tempah),Labrinth,"112,052,750"
Just A Kiss,Lady A,"149,797,629"
Born This Way,Lady Gaga,"659,648,228"
The Edge Of Glory,Lady Gaga,"329,864,617"
6 Foot 7 Foot,Lil Wayne,"533,863,004"
How To Love,Lil Wayne,"324,625,596"
Party Rock Anthem,LMFAO,"783,281,877"
Sexy And I Know It,LMFAO,"468,763,938"
The Show Goes On,Lupe Fiasco,"350,231,860"
I Follow Rivers - The Magician Remix,Lykke Li,"647,947,088"
Midnight City,M83,"1,188,309,424"
Donald Trump,Mac Miller,"439,246,196"
Buzzin Remix,Mann,"46,573,467"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,"1,640,310,808"
Sure Thing,Miguel,"1,583,968,075"
When We Stand Together,Nickelback,"248,348,641"
Super Bass,Nicki Minaj,"939,392,021"
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,"95,455,388"
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,"92,084,996"
Good Life,OneRepublic,"444,427,646"
Raise Your Glass,P!nk,"759,994,727"
Give Me Everything (feat. Nayer),Pitbull,"1,398,898,365"
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,"363,129,470"
Read All About It,Professor Green,"45,130,599"
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"165,691,083"
S&M,Rihanna,"1,191,359,489"
We Found Love,Rihanna,"1,880,696,173"
What's My Name?,Rihanna,"582,396,167"
Down With The Trumpets,Rizzle Kicks,"76,595,620"
"Loca People (What the F**k!"") - Radio Edit",Sak Noel,"53,450,465"
Love You Like A Love Song,Selena Gomez & The Scene,"957,057,781"
Who Says,Selena Gomez & The Scene,"533,814,333"
Sweat - Remix,Snoop Dogg,"293,043,166"
Save The World,Swedish House Mafia,"229,868,927"
Higher,Taio Cruz,"98,972,160"
If I Die Young,The Band Perry,"356,618,845"
Glad You Came,The Wanted,"880,611,592"
More - RedOne Jimmy Joker Remix,USHER,"207,271,291"
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,"717,551,513"
Black and Yellow,Wiz Khalifa,"684,219,442"
Roll Up,Wiz Khalifa,"167,691,228"
Skyfall,Adele,"893,360,241"
Rumour Has It,Adele,"367,163,524"
Years,Alesso,"103,049,777"
Too Close,Alex Clare,"229,236,399"
Breezeblocks,alt-J,"901,508,104"
R U Mine?,Arctic Monkeys,"24,275,127"
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,"336,772,084"
Levels - Radio Edit,Avicii,"1,036,289,759"
Silhouettes - Original Radio Edit,Avicii,"231,336,397"
212,Azealia Banks,"285,936,229"
So Good,B.o.B,"200,902,328"
Locked out of Heaven,Bruno Mars,"2,344,760,126"
It Will Rain,Bruno Mars,"1,039,619,144"
Feel So Close - Radio Edit,Calvin Harris,"1,161,941,211"
Let's Go (feat. Ne-Yo),Calvin Harris,"233,026,216"
We'll Be Coming Back (feat. Example),Calvin Harris,"202,958,723"
Call Me Maybe,Carly Rae Jepsen,"1,556,926,112"
Blown Away,Carrie Underwood,"151,612,544"
Want U Back,Cher Lloyd,"283,368,722"
Turn Up the Music,Chris Brown,"186,704,921"
Paradise,Coldplay,"1,428,570,097"
Princess of China,Coldplay,"295,121,844"
Turn Me On (feat. Nicki Minaj),David Guetta,"295,975,474"
In The Dark,DEV,"69,069,447"
Latch,Disclosure,"1,127,241,063"
Hot Right Now - Edit,DJ Fresh,"77,066,053"
Take Care,Drake,"665,121,832"
The Motto,Drake,"585,396,048"
Lights - Single Version,Ellie Goulding,"353,821,947"
Good Feeling,Flo Rida,"736,076,412"
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,"307,501,393"
Lost,Frank Ocean,"1,187,632,158"
Thinkin Bout You,Frank Ocean,"1,158,351,765"
We Are Young (feat. Janelle Mon√°e),fun.,"1,244,235,845"
Some Nights,fun.,"717,877,053"
Somebody That I Used To Know,Gotye,"1,924,110,837"
Oblivion,Grimes,"317,620,624"
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,"130,724,216"
I Love It (feat. Charli XCX),Icona Pop,"974,784,773"
It's Time,Imagine Dragons,"768,369,277"
On Top Of The World,Imagine Dragons,"1,047,143,027"
Ni**as In Paris,JAY-Z,"1,543,508,204"
Boyfriend,Justin Bieber,"596,178,065"
Mercy,Kanye West,"414,805,423"
Brokenhearted,Karmin,"130,754,922"
The One That Got Away,Katy Perry,"1,040,032,793"
Part Of Me,Katy Perry,"603,037,530"
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,"494,147,050"
m.A.A.d city,Kendrick Lamar,"784,786,713"
Die Young,Kesha,"784,273,600"
C'Mon,Kesha,"104,538,836"
Ride,Lana Del Rey,"394,995,665"
Video Games,Lana Del Rey,"1,045,695,804"
Born To Die,Lana Del Rey,"784,715,116"
BURN IT DOWN,Linkin Park,"531,428,125"
Sexy And I Know It,LMFAO,"468,763,938"
Battle Scars (with Guy Sebastian),Lupe Fiasco,"389,130,976"
Primadonna,MARINA,"405,579,956"
How to Be a Heartbreaker,MARINA,"345,303,625"
One More Night,Maroon 5,"993,706,320"
Payphone,Maroon 5,"2,032,981,208"
Adorn,Miguel,"461,986,202"
Madness,Muse,"317,066,860"
Everybody Talks,Neon Trees,"910,457,486"
Starships,Nicki Minaj,"1,248,378,386"
Pound The Alarm,Nicki Minaj,"255,401,342"
Dirty Paws,Of Monsters and Men,"362,502,501"
Troublemaker (feat. Flo Rida),Olly Murs,"514,041,270"
What Makes You Beautiful,One Direction,"1,456,007,442"
Live While We're Young,One Direction,"427,293,275"
Million Voices - Radio Edit,Otto Knows,"244,917,085"
Good Time,Owl City,"660,985,226"
Blow Me (One Last Kiss),P!nk,"226,085,136"
Take a Walk,Passion Pit,"308,235,461"
Gone, Gone, Gone
Home,Phillip Phillips,"336,838,449"
Gangnam Style (Í∞ïÎÇ®Ïä§ÌÉÄÏùº),PSY,"517,751,896"
We Found Love,Rihanna,"1,880,696,173"
Where Have You Been,Rihanna,"763,685,743"
Mama Do The Hump,Rizzle Kicks,"55,923,818"
Candy,Robbie Williams,"196,916,962"
Feel the Love (feat. John Newman),Rudimental,"219,739,445"
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,"262,627,987"
Bangarang (feat. Sirah),Skrillex,"493,969,940"
Young, Wild & Free (feat. Bruno Mars),Snoop Dogg
Don't You Worry Child - Radio Edit,Swedish House Mafia,"1,187,125,946"
I Knew You Were Trouble.,Taylor Swift,"905,119,744"
We Are Never Ever Getting Back Together,Taylor Swift,"703,445,230"
Ho Hey,The Lumineers,"1,402,046,025"
Chasing The Sun,The Wanted,"217,390,563"
Angels,The xx,"234,629,298"
Drive By,Train,"801,536,181"
50 Ways to Say Goodbye,Train,"198,237,834"
Heart Attack,Trey Songz,"82,910,514"
Rack City,Tyga,"377,864,601"
Faded,Tyga,"145,326,097"
Climax,USHER,"147,958,090"
Anna Sun,WALK THE MOON,"163,394,046"
Work Hard, Play Hard,Wiz Khalifa
We Own It (Fast & Furious),2 Chainz,"504,393,258"
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar),A$AP Rocky
Why'd You Only Call Me When You're High?,Arctic Monkeys,"1,896,808,669"
Do I Wanna Know?,Arctic Monkeys,"2,389,398,947"
The Way,Ariana Grande,"475,166,781"
Wake Me Up,Avicii,"2,526,557,068"
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,"465,277,774"
Here's to Never Growing Up,Avril Lavigne,"250,732,496"
Sail,AWOLNATION,"848,059,511"
Harlem Shake,Baauer,"91,947,072"
Pompeii,Bastille,"1,704,090,257"
Of The Night,Bastille,"189,218,538"
Sure Be Cool If You Did,Blake Shelton,"125,858,265"
Ready or Not,Bridgit Mendler,"309,021,133"
Work Bitch,Britney Spears,"347,222,305"
Locked out of Heaven,Bruno Mars,"2,346,968,071"
When I Was Your Man,Bruno Mars,"2,407,376,211"
Treasure,Bruno Mars,"1,123,407,365"
Sweet Nothing (feat. Florence Welch),Calvin Harris,"567,315,293"
I Need Your Love (feat. Ellie Goulding),Calvin Harris,"531,014,453"
Thinking About You (feat. Ayah Marar),Calvin Harris,"252,047,354"
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,"150,497,536"
Safe and Sound,Capital Cities,"1,445,930,293"
3005,Childish Gambino,"895,524,694"
Fine China,Chris Brown,"126,508,080"
The Mother We Share,CHVRCHES,"187,016,482"
Body Party,Ciara,"199,281,783"
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,"1,171,884,969"
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,"337,397,974"
Play Hard (feat. Ne-Yo & Akon),David Guetta,"606,138,004"
Heart Attack,Demi Lovato,"917,619,348"
White Noise,Disclosure,"109,650,520"
"Hold On, We're Going Home",Drake,"1,064,538,947"
Started From the Bottom,Drake,"522,976,532"
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,"87,043,098"
The Monster,Eminem,"1,116,512,663"
Berzerk,Eminem,"320,193,708"
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,"699,211,265"
I Cry,Flo Rida,"288,667,868"
Cruise,Florida Georgia Line,"482,772,585"
I Love It (feat. Charli XCX),Icona Pop,"975,218,273"
Demons,Imagine Dragons,"2,510,765,929"
Radioactive,Imagine Dragons,"1,982,880,302"
Power Trip (feat. Miguel),J. Cole,"702,400,959"
Talk Dirty (feat. 2 Chainz),Jason Derulo,"767,706,492"
The Other Side,Jason Derulo,"251,275,136"
Holy Grail,JAY-Z,"342,686,587"
Love Me Again,John Newman,"803,964,651"
Beauty And A Beat,Justin Bieber,"991,762,256"
Mirrors,Justin Timberlake,"1,144,335,589"
Suit & Tie (feat. Jay-Z),Justin Timberlake,"254,833,749"
Black Skinhead,Kanye West,"641,215,515"
This Is How We Do,Katy Perry,"278,773,537"
Sonnentanz - Sun Don't Shine,Klangkarussell,"277,960,176"
All I Want,Kodaline,"1,213,115,258"
High Hopes,Kodaline,"281,206,892"
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,"728,409,135"
Love Me,Lil Wayne,"912,916,875"
Somewhere Only We Know,Lily Allen,"363,357,611"
Royals,Lorde,"1,294,816,229"
Team,Lorde,"861,014,742"
Can't Hold Us (feat. Ray Dalton),Macklemore,"2,649,727,052"
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,"1,336,201,381"
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,"340,628,107"
Daylight,Maroon 5,"360,455,166"
It's a Beautiful Day,Michael Bublé,"200,143,356"
We Can't Stop,Miley Cyrus,"1,032,502,098"
I Will Wait,Mumford & Sons,"740,720,938"
La La La,Naughty Boy,"698,074,577"
Hey Porsche,Nelly,"83,909,374"
Little Talks,Of Monsters and Men,"1,129,074,672"
Best Song Ever,One Direction,"644,697,258"
One Way or Another (Teenage Kicks),One Direction,"186,009,563"
True Love (feat. Lily Allen),P!nk,"233,831,234"
Still into You,Paramore,"870,724,099"
Ain't It Fun,Paramore,"516,183,048"
Home,Phillip Phillips,"336,928,715"
Feel This Moment (feat. Christina Aguilera),Pitbull,"774,963,964"
Don't Stop the Party (feat. TJR),Pitbull,"211,018,047"
Blurred Lines,Robin Thicke,"892,859,629"
Waiting All Night (feat. Ella Eyre),Rudimental,"253,521,490"
Reload - Radio Edit,Sebastian Ingrosso,"250,806,574"
Come & Get It,Selena Gomez,"437,048,448"
Look Right Through - MK Vocal Edit,Storm Queen,"66,150,421"
Papaoutai,Stromae,"529,184,266"
I Knew You Were Trouble.,Taylor Swift,"905,422,307"
22,Taylor Swift,"411,139,650"
Everything Has Changed,Taylor Swift,"283,673,921"
Chocolate,The 1975,"456,817,373"
Ho Hey,The Lumineers,"1,402,700,783"
Sweater Weather,The Neighbourhood,"3,415,478,676"
What About Us,The Saturdays,"65,462,865"
Another Love,Tom Odell,"2,785,639,063"
Bad (feat. Rihanna) - Remix,Wale,"131,895,862"
Scream & Shout,will.i.am,"831,255,078"
#thatPOWER,will.i.am,"270,210,263"
The Fox (What Does the Fox Say?),Ylvis,"195,804,631"
Clarity,Zedd,"630,588,892"
She Looks So Perfect,5 Seconds of Summer,"746,084,893"
Amnesia,5 Seconds of Summer,"456,050,860"
Heroes (we could be),Alesso,"727,703,671"
The Man - Draft Day Mix,Aloe Blacc,"223,722"
