title,artist,streams
lovely (with Khalid),Billie Eilish,"3,101,656,732"
Look Alive (feat. Drake),BlocBoy JB,"1,001,654,226"
Finesse - Remix; feat. Cardi B,Bruno Mars,"836,560,935"
One Kiss (with Dua Lipa),Calvin Harris,"2,334,959,964"
Never Be the Same,Camila Cabello,"933,017,593"
I Like It,Cardi B,"1,684,313,292"
Bodak Yellow,Cardi B,"923,476,031"
Be Careful,Cardi B,"361,040,021"
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,"141,804,441"
How Long,Charlie Puth,"724,299,597"
Done for Me (feat. Kehlani),Charlie Puth,"301,416,053"
The Way I Am,Charlie Puth,"176,897,098"
This Is America,Childish Gambino,"609,597,415"
Tequila,Dan + Shay,"630,525,277"
Nevermind,Dennis Lloyd,"1,038,000,749"
No Brainer,DJ Khaled,"613,195,276"
God's Plan,Drake,"2,658,279,990"
Nonstop,Drake,"1,166,848,890"
Nice For What,Drake,"1,327,104,973"
In My Feelings,Drake,"1,422,359,279"
I'm Upset,Drake,"435,151,874"
IDGAF,Dua Lipa,"1,661,694,011"
In My Mind,Dynoro,"1,548,786,938"
Trip,Ella Mai,"534,191,008"
Boo'd Up,Ella Mai,"377,752,729"
River (feat. Ed Sheeran),Eminem,"863,722,389"
German,EO,"145,159,069"
Let's Fall In Love For The Night,FINNEAS,"460,379,394"
Simple,Florida Georgia Line,"412,008,184"
Him & I (with Halsey),G-Eazy,"1,026,097,022"
Shotgun,George Ezra,"1,002,196,887"
Paradise,George Ezra,"343,163,205"
we fell in love in october,girl in red,"1,233,204,521"
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"1,124,907,879"
Bad At Love,Halsey,"669,333,533"
The Other Side,Hugh Jackman,"462,085,155"
Natural,Imagine Dragons,"1,325,756,507"
Make Me Feel,Janelle Monáe,"158,746,920"
You Make It Easy,Jason Aldean,"491,479,062"
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,"624,134,675"
Rise,Jonas Blue,"900,863,585"
Lucid Dreams,Juice WRLD,"2,716,641,193"
LOVE. FEAT. ZACARI.,Kendrick Lamar,"1,473,680,331"
All The Stars (with SZA),Kendrick Lamar,"1,884,191,522"
Love Lies (with Normani),Khalid,"972,233,549"
1950,King Princess,"583,013,919"
I Like Me Better,Lauv,"1,890,845,999"
Yes Indeed,Lil Baby,"1,175,612,025"
Freaky Friday (feat. Chris Brown),Lil Dicky,"695,223,512"
Everyday,Logic,"549,985,583"
Body,Loud Luxury,"1,268,168,560"
Bad Vibe,M.O,"116,973,946"
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",mgk,"468,045,828"
Corazón (feat. Nego do Borel),Maluma,"617,910,115"
Wait,Maroon 5,"442,295,990"
Happier,Marshmello,"2,288,548,573"
Silence,Marshmello,"1,723,065,609"
FRIENDS,Marshmello,"1,485,407,802"
Spotlight,Marshmello,"436,350,880"
Walk It Talk It,Migos,"805,789,630"
MotorSport,Migos,"605,286,702"
Stir Fry,Migos,"716,224,045"
17,MK,"224,659,733"
Let You Down,NF,"1,540,582,279"
Te Boté - Remix,Nio Garcia,"1,218,326,892"
Ric Flair Drip (with Metro Boomin),Offset,"1,698,099,710"
Vaina Loca,Ozuna,"853,284,734"
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,"926,509,721"
rockstar (feat. 21 Savage),Post Malone,"3,079,637,232"
Better Now,Post Malone,"2,034,093,608"
Psycho (feat. Ty Dolla $ign),Post Malone,"1,562,171,784"
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,"410,092,363"
Plug Walk,Rich The Kid,"668,887,848"
Mo Bamba,Sheck Wes,"1,108,410,553"
Strangers,Sigrid,"139,964,363"
Delicate,Taylor Swift,"1,083,017,436"
It's Not Living (If It's Not With You),The 1975,"347,710,467"
This Feeling,The Chainsmokers,"644,976,863"
Sick Boy,The Chainsmokers,"469,551,261"
Call Out My Name,The Weeknd,"1,956,990,672"
Pray For Me (with Kendrick Lamar),The Weeknd,"996,092,740"
Jackie Chan,Tiësto,"896,369,238"
SICKO MODE,Travis Scott,"2,260,795,689"
Taste (feat. Offset),Tyga,"1,422,048,544"
Saturday Sun,Vance Joy,"352,805,027"
SAD!,XXXTENTACION,"2,309,222,208"
Moonlight,XXXTENTACION,"2,014,679,968"
changes,XXXTENTACION,"1,416,316,336"
If You're Over Me,Olly Alexander (Years & Years),"262,005,444"
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,"377,370,722"
The Middle,Zedd,"1,569,472,765"
a lot,21 Savage,"1,018,540,551"
Easier,5 Seconds of Summer,"407,694,476"
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,"836,910,675"
Look Back at It,A Boogie Wit da Hoodie,"824,411,238"
Ladbroke Grove,AJ Tracey,"259,243,638"
China,Anuel AA,"1,232,938,091"
Secreto,Anuel AA,"796,500,426"
7 rings,Ariana Grande,"2,411,396,247"
"thank u, next",Ariana Grande,"1,964,330,202"
