title,artist,streams
Hurts So Good,Astrid S,"590,376,776"
Good Grief,Bastille,"340,870,345"
Sorry,Beyoncé,"181,377,775"
Don't,Bryson Tiller,"1,462,125,421"
Exchange,Bryson Tiller,"1,103,148,142"
Dancing On My Own,Calum Scott,"1,308,609,942"
My Way,Calvin Harris,"1,107,924,684"
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,"2,049,101,884"
One Call Away,Charlie Puth,"885,839,023"
Dangerously,Charlie Puth,"365,255,295"
Sex,Cheat Codes,"684,110,594"
Back To Sleep,Chris Brown,"193,732,541"
Tears (feat. Louisa Johnson),Clean Bandit,"220,384,346"
Hymn for the Weekend,Coldplay,"1,559,809,607"
Adventure of a Lifetime,Coldplay,"1,125,839,828"
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,"539,155,119"
"Sit Still, Look Pretty",Daya,"604,657,404"
Hide Away,Daya,"547,233,154"
Let Me Love You,DJ Snake,"2,324,517,097"
Middle,DJ Snake,"1,115,511,421"
Cake By The Ocean,DNCE,"1,727,372,101"
Too Good,Drake,"1,087,308,119"
Hotter Than Hell,Dua Lipa,"337,157,517"
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,"684,224,710"
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,"1,484,873,147"
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,"379,547,504"
My House,Flo Rida,"1,133,699,549"
Say It (feat. Tove Lo),Flume,"404,278,872"
Pink + White,Frank Ocean,"1,593,930,516"
Low Life (feat. The Weeknd),Future,"974,729,534"
No Money,Galantis,"903,850,152"
"i hate u, i love u (feat. olivia o'brien)",gnash,"1,452,302,898"
"Me, Myself & I",G-Eazy,"1,394,307,077"
Starving,Hailee Steinfeld,"1,219,931,593"
Can I Be Him,James Arthur,"813,509,135"
When You Love Someone,James TW,"666,906,870"
Love Me Now,John Legend,"402,381,622"
Perfect Strangers,Jonas Blue,"1,100,456,396"
Fast Car,Jonas Blue,"1,203,076,433"
Love Yourself,Justin Bieber,"2,607,784,799"
Sorry,Justin Bieber,"2,267,747,000"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"1,827,881,335"
Gold,Kiiara,"666,788,876"
Stole the Show,Kygo,"1,039,802,257"
Stay (feat. Maty Noyes),Kygo,"611,235,552"
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,"1,183,033,035"
Shout Out to My Ex,Little Mix,"782,341,207"
7 Years,Lukas Graham,"2,061,279,311"
Alaska,Maggie Rogers,"263,192,155"
Cold Water,Major Lazer,"1,626,083,285"
You & Me,Marc E. Bassy,"385,067,200"
Alone,Marshmello,"583,582,439"
In the Name of Love,Martin Garrix,"1,531,878,542"
NO,Meghan Trainor,"653,610,891"
The Ocean (feat. Shy Martin),Mike Perry,"815,829,719"
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"2,068,150,907"
Final Song,MØ,"557,153,669"
This Town,Niall Horan,"1,037,136,259"
Close,Nick Jonas,"563,662,139"
History,Olivia Holt,"219,809,229"
History,One Direction,"609,392,767"
Wherever I Go,OneRepublic,"499,295,705"
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,"358,168,609"
Not Nice,PARTYNEXTDOOR,"209,226,457"
Needed Me,Rihanna,"1,612,104,922"
Work,Rihanna,"1,474,162,925"
Lost Boy,Ruth B.,"873,832,352"
You Don't Own Me (feat. G-Eazy),SAYGRACE,"541,895,345"
Same Old Love,Selena Gomez,"682,179,376"
Hands To Myself,Selena Gomez,"711,251,680"
Treat You Better,Shawn Mendes,"2,345,116,509"
I Know What You Did Last Summer,Shawn Mendes,"640,635,279"
The Greatest (feat. Kendrick Lamar),Sia,"682,948,365"
Cheap Thrills (feat. Sean Paul),Sia,"777,516,810"
Sweet Lovin' - Radio Edit,Sigala,"293,651,501"
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,"635,929,854"
Just Hold On,Steve Aoki,"523,241,450"
Somebody Else,The 1975,"844,409,236"
The Sound,The 1975,"326,708,560"
Closer,The Chainsmokers,"3,065,704,079"
Don't Let Me Down,The Chainsmokers,"2,011,758,518"
Roses,The Chainsmokers,"1,088,524,165"
Ophelia,The Lumineers,"1,399,915,392"
Starboy,The Weeknd,"3,624,964,793"
Once In a While,Timeflies,"343,202,050"
Girls Like (feat. Zara Larsson),Tinie Tempah,"382,445,894"
Cool Girl,Tove Lo,"396,510,935"
Renegades,X Ambassadors,"837,439,283"
Unsteady,X Ambassadors,"701,050,283"
Never Forget You,Zara Larsson,"1,002,133,781"
PILLOWTALK,ZAYN,"1,416,974,055"
It's A Vibe,2 Chainz,"493,674,063"
Bank Account,21 Savage,"1,190,618,206"
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,"980,953,173"
Plain Jane,A$AP Ferg,"757,113,210"
Weak,AJR,"703,219,713"
Caroline,Aminé,"779,771,613"
More Than You Know,Axwell /\ Ingrosso,"1,428,568,042"
Rolex,Ayo & Teo,"507,246,900"
Bounce Back,Big Sean,"722,532,106"
