title,artist,pop_today,track_id,url
Power Trip (feat. Miguel),J. Cole,77,2uwnP6tZVVmTovzX5ELooy,https://open.spotify.com/track/2uwnP6tZVVmTovzX5ELooy
Talk Dirty (feat. 2 Chainz),Jason Derulo,64,6g6A7qNhTfUgOSH7ROOxTD,https://open.spotify.com/track/6g6A7qNhTfUgOSH7ROOxTD
The Other Side,Jason Derulo,56,5FljCWR0cys07PQ9277GTz,https://open.spotify.com/track/5FljCWR0cys07PQ9277GTz
Holy Grail,JAY-Z,60,37jTPJgwCCmIGMPB45jrPV,https://open.spotify.com/track/37jTPJgwCCmIGMPB45jrPV
Love Me Again,John Newman,63,5VSCgNlSmTV2Yq5lB40Eaw,https://open.spotify.com/track/5VSCgNlSmTV2Yq5lB40Eaw
Beauty And A Beat,Justin Bieber,80,6QFCMUUq1T2Vf5sFUXcuQ7,https://open.spotify.com/track/6QFCMUUq1T2Vf5sFUXcuQ7
Mirrors,Justin Timberlake,78,4rHZZAmHpZrA3iH5zx8frV,https://open.spotify.com/track/4rHZZAmHpZrA3iH5zx8frV
Suit & Tie (feat. Jay-Z),Justin Timberlake,64,6vt0I1cw1YmAIKDJvHVIM5,https://open.spotify.com/track/6vt0I1cw1YmAIKDJvHVIM5
Black Skinhead,Kanye West,71,722tgOgdIbNe3BEyLnejw4,https://open.spotify.com/track/722tgOgdIbNe3BEyLnejw4
This Is How We Do,Katy Perry,58,7GCElX2eJA5t0AFWw3WzKn,https://open.spotify.com/track/7GCElX2eJA5t0AFWw3WzKn
Sonnentanz - Sun Don't Shine,Klangkarussell,51,5NKfB21hWeirObQjEN44x1,https://open.spotify.com/track/5NKfB21hWeirObQjEN44x1
All I Want,Kodaline,77,0NlGoUyOJSuSHmngoibVAs,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs
High Hopes,Kodaline,62,6KkyuDhrEhR5nJVKtv9mCf,https://open.spotify.com/track/6KkyuDhrEhR5nJVKtv9mCf
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,72,6PUIzlqotEmPuBfjbwYWOB,https://open.spotify.com/track/6PUIzlqotEmPuBfjbwYWOB
Love Me,Lil Wayne,82,2XHzzp1j4IfTNp1FTn7YFg,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg
Somewhere Only We Know,Lily Allen,50,1mvfvDZOybiEgS1ecJxt9W,https://open.spotify.com/track/1mvfvDZOybiEgS1ecJxt9W
Royals,Lorde,75,2dLLR6qlu5UJ5gk0dKz0h3,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3
Team,Lorde,74,3G6hD9B2ZHOsgf4WfNu7X1,https://open.spotify.com/track/3G6hD9B2ZHOsgf4WfNu7X1
Can't Hold Us (feat. Ray Dalton),Macklemore,82,22skzmqfdWrjJylampe0kt,https://open.spotify.com/track/22skzmqfdWrjJylampe0kt
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,77,6CjtS2JZH9RkDz5UVInsa9,https://open.spotify.com/track/6CjtS2JZH9RkDz5UVInsa9
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,58,01uqI4H13Gsd8Lyl1EYd8H,https://open.spotify.com/track/01uqI4H13Gsd8Lyl1EYd8H
Daylight,Maroon 5,58,6TwfdLbaxTKzQi3AgsZNzx,https://open.spotify.com/track/6TwfdLbaxTKzQi3AgsZNzx
It's a Beautiful Day,Michael Bublé,62,0mvkwaZMP2gAy2ApQLtZRv,https://open.spotify.com/track/0mvkwaZMP2gAy2ApQLtZRv
We Can't Stop,Miley Cyrus,76,2y4lAQpi5VTNLu2ldeTdUH,https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH
I Will Wait,Mumford & Sons,66,3Bclyko7WmwM2oGmKj8sue,https://open.spotify.com/track/3Bclyko7WmwM2oGmKj8sue
La La La,Naughty Boy,54,52gvlDnre9craz9dKGObp8,https://open.spotify.com/track/52gvlDnre9craz9dKGObp8
Hey Porsche,Nelly,37,6QoxM9xgqazNPGF026CjpS,https://open.spotify.com/track/6QoxM9xgqazNPGF026CjpS
Little Talks,Of Monsters and Men,77,2ihCaVdNZmnHZWt0fvAM7B,https://open.spotify.com/track/2ihCaVdNZmnHZWt0fvAM7B
Best Song Ever,One Direction,78,5T7ZFtCcOgkpjxcuaeZbw0,https://open.spotify.com/track/5T7ZFtCcOgkpjxcuaeZbw0
One Way or Another (Teenage Kicks),One Direction,68,3jZomvOBa5qfTo5HkqI1p5,https://open.spotify.com/track/3jZomvOBa5qfTo5HkqI1p5
True Love (feat. Lily Allen),P!nk,65,1QNqrsNQ1JVLEwncov3lEY,https://open.spotify.com/track/1QNqrsNQ1JVLEwncov3lEY
Still into You,Paramore,78,1yjY7rpaAQvKwpdUliHx0d,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d
Ain't It Fun,Paramore,71,1j8z4TTjJ1YOdoFEDwJTQa,https://open.spotify.com/track/1j8z4TTjJ1YOdoFEDwJTQa
Home,Phillip Phillips,21,3qXCNSphgfe4pl3p2PoeOa,https://open.spotify.com/track/3qXCNSphgfe4pl3p2PoeOa
Feel This Moment (feat. Christina Aguilera),Pitbull,77,0Hf4aIJpsN4Os2f0y0VqWl,https://open.spotify.com/track/0Hf4aIJpsN4Os2f0y0VqWl
Don't Stop the Party (feat. TJR),Pitbull,65,3Tu7uWBecS6GsLsL8UONKn,https://open.spotify.com/track/3Tu7uWBecS6GsLsL8UONKn
Blurred Lines,Robin Thicke,73,0n4bITAu0Y0nigrz3MFJMb,https://open.spotify.com/track/0n4bITAu0Y0nigrz3MFJMb
Waiting All Night (feat. Ella Eyre),Rudimental,40,0g4qRoQ3Bh6puFzBA7fH3S,https://open.spotify.com/track/0g4qRoQ3Bh6puFzBA7fH3S
Reload - Radio Edit,Sebastian Ingrosso,64,5jyUBKpmaH670zrXrE0wmO,https://open.spotify.com/track/5jyUBKpmaH670zrXrE0wmO
Come & Get It,Selena Gomez,69,6LoQHIo74tOzQ8EsLEkhgF,https://open.spotify.com/track/6LoQHIo74tOzQ8EsLEkhgF
Look Right Through - MK Vocal Edit,Storm Queen,32,6GToqG0KyT33U51NGWNs0r,https://open.spotify.com/track/6GToqG0KyT33U51NGWNs0r
Papaoutai,Stromae,51,1QFw2xxyQtgKjlrMCEqsNj,https://open.spotify.com/track/1QFw2xxyQtgKjlrMCEqsNj
I Knew You Were Trouble.,Taylor Swift,74,6FB3v4YcR57y4tXFcdxI1E,https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E
22,Taylor Swift,63,6ce41JVa6KFaryfmC2bu2W,https://open.spotify.com/track/6ce41JVa6KFaryfmC2bu2W
Everything Has Changed,Taylor Swift,57,3Z1kZKYfRC8iRXnYeC5sCJ,https://open.spotify.com/track/3Z1kZKYfRC8iRXnYeC5sCJ
Chocolate,The 1975,59,44Ljlpy44mHvLJxcYUvTK0,https://open.spotify.com/track/44Ljlpy44mHvLJxcYUvTK0
Ho Hey,The Lumineers,80,0DwClY2t9YAWHBROMIgrXb,https://open.spotify.com/track/0DwClY2t9YAWHBROMIgrXb
