title,artist,streams
"break up with your girlfriend, i'm bored",Ariana Grande,"1,016,355,182"
boyfriend (with Social House),Ariana Grande,"877,976,080"
On A Roll,Ashley O,"119,064,618"
Callaita,Bad Bunny,"1,534,744,486"
MIA (feat. Drake),Bad Bunny,"1,374,414,877"
lovely (with Khalid),Billie Eilish,"3,101,656,732"
bad guy,Billie Eilish,"2,634,123,321"
when the party's over,Billie Eilish,"2,014,602,999"
bury a friend,Billie Eilish,"1,054,334,671"
Kill This Love,BLACKPINK,"873,356,058"
The Git Up,Blanco Brown,"360,524,287"
Thotiana,Blueface,"382,256,567"
Boy With Luv (feat. Halsey),BTS,"1,216,459,168"
Please Me,Cardi B,"615,605,856"
Money,Cardi B,"602,492,563"
Suge,DaBaby,"662,501,525"
Location (feat. Burna Boy),Dave,"586,500,316"
Juicy,Doja Cat,"380,355,950"
3 Nights,Dominic Fike,"1,089,570,702"
Money In The Grave (Drake ft. Rick Ross),Drake,"1,012,824,266"
Don't Start Now,Dua Lipa,"2,792,730,205"
Take Me Back to London (feat. Stormzy),Ed Sheeran,"230,331,833"
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,"403,325,614"
Antisocial (with Travis Scott),Ed Sheeran,"265,250,873"
Leave Me Alone,Flipp Dinero,"673,461,104"
Lost in the Fire (feat. The Weeknd),Gesaffelstein,"1,012,202,367"
Without Me,Halsey,"2,147,940,628"
emotions,iann dior,"389,383,549"
gone girl (feat. Trippie Redd),iann dior,"323,780,657"
MIDDLE CHILD,J. Cole,"1,361,130,066"
All Day And Night,Jax Jones,"328,085,422"
Sorry,Joel Corry,"185,940,285"
Sucker,Jonas Brothers,"1,477,204,505"
Only Human,Jonas Brothers,"529,287,317"
Robbery,Juice WRLD,"1,383,894,230"
Good as You,Kane Brown,"202,475,493"
Nights Like This (feat. Ty Dolla $ign),Kehlani,"621,520,182"
Better,Khalid,"1,462,776,022"
Talk (feat. Disclosure),Khalid,"997,879,136"
ZEZE (feat. Travis Scott & Offset),Kodak Black,"1,123,585,438"
Shallow,Lady Gaga,"2,617,148,558"
Doin' Time,Lana Del Rey,"760,773,242"
i'm so tired...,Lauv,"912,395,869"
Someone You Loved,Lewis Capaldi,"3,713,296,446"
Grace,Lewis Capaldi,"331,533,579"
Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,"1,564,985,132"
Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,"1,564,985,132"
Panini,Lil Nas X,"759,723,384"
Ransom,Lil Tecca,"1,538,335,732"
Truth Hurts,Lizzo,"1,016,281,613"
Good as Hell,Lizzo,"655,787,878"
Soltera (Remix),Lunay,"1,011,151,955"
Light On,Maggie Rogers,"256,760,438"
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,"1,032,882,582"
Here With Me,Marshmello,"707,717,821"
One Thing Right,Marshmello,"582,709,015"
Piece Of Your Heart - Alok Remix,MEDUZA,"391,473,545"
Going Bad (feat. Drake),Meek Mill,"1,246,944,575"
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,"282,774,321"
Slide Away,Miley Cyrus,"362,023,961"
Pure Water (with Migos),Mustard,"758,588,570"
Shotta Flow (feat. Blueface) - Remix,NLE Choppa,"528,051,768"
Motivation,Normani,"388,337,169"
Options,NSG,"142,957,365"
Clout (feat. Cardi B),Offset,"315,513,343"
High Hopes,Panic! At The Disco,"1,698,251,790"
Adan y Eva,Paulo Londra,"975,024,432"
Pop Out (feat. Lil Tjay),Polo G,"901,396,093"
Circles,Post Malone,"2,670,221,198"
Better Now,Post Malone,"2,034,093,608"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"3,631,337,701"
Wow.,Post Malone,"1,763,443,773"
Goodbyes (feat. Young Thug),Post Malone,"1,320,311,255"
Bohemian Rhapsody - Remastered 2011,Queen,"2,651,702,747"
Ride It,Regard,"1,461,565,237"
Post Malone (feat. RANI),Sam Feldt,"599,291,077"
My Type,Saweetie,"425,844,369"
Otro Trago - Remix,Sech,"571,885,886"
Señorita,Shawn Mendes,"2,884,702,831"
If I Can't Have You,Shawn Mendes,"1,057,624,282"
Don’t Feel Like Crying,Sigrid,"89,032,554"
Vossi Bop,Stormzy,"376,237,372"
Lover,Taylor Swift,"1,621,196,669"
Cruel Summer,Taylor Swift,"2,649,357,342"
You Need To Calm Down,Taylor Swift,"1,009,288,451"
SICKO MODE,Travis Scott,"2,260,795,689"
EARFQUAKE,"Tyler, The Creator","1,092,188,072"
Boasty (feat. Idris Elba),Wiley,"171,625,826"
Strike a Pose (feat. Aitch),Young T & Bugsey,"133,345,785"
The London (feat. J. Cole & Travis Scott),Young Thug,"754,787,209"
