title,artist,top_genre,year_released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top_year,artist_type,pop_today,track_id,url,streams
Vaina Loca,Ozuna,latin,2018,2020‑06‑22,94,81,75,-4,20,56,176,32,8,77,2018,Solo,71,48zFZh27QU5qsrBjn4C2FA,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,853284734.00
Video Games,Lana Del Rey,art pop,2012,2020‑06‑22,122,25,39,-10,9,18,282,81,3,63,2012,Solo,69,3WD91HQDBIavSapet3ZpjG,https://open.spotify.com/track/3WD91HQDBIavSapet3ZpjG,1045695804.00
Vossi Bop,Stormzy,grime,2019,2020‑06‑22,188,65,68,-6,13,43,196,13,34,69,2019,Solo,63,5DXKtoZLm31msT7tNGNHLG,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG,376237372.00
Wait,Maroon 5,pop,2018,2020‑06‑22,126,60,66,-5,11,45,191,10,6,64,2018,Band/Group,57,6AvfZXpbb6r35DfF7gHPRq,https://open.spotify.com/track/6AvfZXpbb6r35DfF7gHPRq,442295990.00
Waiting All Night (feat. Ella Eyre),Rudimental,dance pop,2013,2020‑06‑11,175,73,54,-5,43,28,293,0,5,50,2013,Solo,40,0g4qRoQ3Bh6puFzBA7fH3S,https://open.spotify.com/track/0g4qRoQ3Bh6puFzBA7fH3S,253521490.00
Waiting For Love,Avicii,dance pop,2015,2020‑06‑19,128,74,58,-4,20,61,231,31,5,84,2015,Solo,78,2P4OICZRVAQcYAV2JReRfj,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj,1493463295.00
Wake Me Up,Avicii,dance pop,2013,2020‑06‑11,124,78,53,-6,16,64,247,0,5,89,2013,Solo,83,0nrRP2bk19rLc0orkWPQk2,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,2526557068.00
Walk It Talk It,Migos,atl hip hop,2018,2020‑06‑22,146,63,91,-5,11,40,276,9,18,79,2018,Trio,70,6n4U3TlzUGhdSFbUUhTvLP,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP,805789630.00
Want U Back,Cher Lloyd,dance pop,2012,2020‑06‑22,98,89,69,-3,56,56,215,6,9,71,2012,Solo,59,6E11E0lT5Zy7yb6iT3y8DN,https://open.spotify.com/track/6E11E0lT5Zy7yb6iT3y8DN,283368722.00
Wasted,Tiësto,big room,2014,2020‑06‑10,112,82,64,-6,20,39,190,0,3,68,2014,Solo,59,7m3povhdMDLZwuEKak0l0n,https://open.spotify.com/track/7m3povhdMDLZwuEKak0l0n,416403012.00
Waves - Robin Schulz Radio Edit,Mr. Probz,dutch hip hop,2014,2020‑06‑10,120,51,83,-9,8,45,208,1,4,82,2014,Solo,75,1HFfMOxCAT4GAwaPfCdmUs,https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs,1058286908.00
Way down We Go,KALEO,icelandic indie,2016,2021‑08‑09,163,51,49,-8,10,34,214,58,12,81,2015,Band/Group,82,0y1QJc3SJVPKJ1OvFmFqe6,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6,1257135611.00
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,2020‑06‑22,86,68,63,-6,12,75,193,1,9,80,2012,Solo,69,0VwNdo84DaVYLIkbVO86ND,https://open.spotify.com/track/0VwNdo84DaVYLIkbVO86ND,703445230.00
We Can't Stop,Miley Cyrus,dance pop,2013,2020‑06‑11,80,62,61,-6,37,48,231,1,3,83,2013,Solo,76,2y4lAQpi5VTNLu2ldeTdUH,https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH,1032502098.00
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,2020‑06‑08,100,56,73,-8,18,35,218,62,13,73,2016,Solo,61,37FXw5QGFN7uwwsLy8uAc0,https://open.spotify.com/track/37FXw5QGFN7uwwsLy8uAc0,2049101884.00
We Found Love,Rihanna,barbadian pop,2011,2020‑06‑16,128,77,74,-4,11,60,215,3,4,80,2011,Solo,81,6qn9YLKt13AGvpq9jfO8py,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py,1880696173.00
We No Speak Americano (Edit),Yolanda Be Cool,australian dance,2020,2022‑02‑17,125,81,90,-5,9,75,157,7,5,65,2010,Duo,61,37dYAkMa4lzRCH6kDbMT1L,https://open.spotify.com/track/37dYAkMa4lzRCH6kDbMT1L,158225136.00
We Own It (Fast & Furious),2 Chainz,atl hip hop,2013,2020‑06‑11,172,90,56,-5,5,56,228,5,40,75,2013,Solo,67,2OQJKTtrH482waGFmOfJni,https://open.spotify.com/track/2OQJKTtrH482waGFmOfJni,504393258.00
We R Who We R,Kesha,dance pop,2010,2020‑06‑16,120,82,74,-5,12,65,205,1,4,77,2011,Solo,70,3LUWWox8YYykohBbHUrrxd,https://open.spotify.com/track/3LUWWox8YYykohBbHUrrxd,335750218.00
We'll Be Coming Back (feat. Example),Calvin Harris,dance pop,2012,2020‑06‑22,128,95,60,-4,60,57,234,0,9,68,2012,Solo,59,7B1Dl3tXqySkB8OPEwVvSu,https://open.spotify.com/track/7B1Dl3tXqySkB8OPEwVvSu,202958723.00
Weak,AJR,modern rock,2017,2021‑01‑28,124,64,67,-5,19,70,201,12,5,71,2017,Trio,62,2sVcBaVtBPM9vIFk1Jnbw8,https://open.spotify.com/track/2sVcBaVtBPM9vIFk1Jnbw8,703219713.00
What About Us,The Saturdays,bubblegum dance,2013,2020‑06‑11,124,68,70,-5,21,69,221,1,6,67,2013,Band/Group,51,4Hsn8y4PcSU6bm9bLB1gwy,https://open.spotify.com/track/4Hsn8y4PcSU6bm9bLB1gwy,65462865.00
What Do You Mean?,Justin Bieber,canadian pop,2015,2020‑06‑19,125,57,85,-8,8,79,206,59,10,81,2015,Solo,79,4B0JvthVoAAuygILe3n4Bs,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,1708547728.00
What Makes You Beautiful,One Direction,boy band,2012,2020‑06‑22,125,79,73,-2,6,89,200,1,7,88,2012,Band/Group,85,4cluDES4hQEUhmXj6TXkSo,https://open.spotify.com/track/4cluDES4hQEUhmXj6TXkSo,1456007442.00
What You Know,Two Door Cinema Club,indie rock,2010,2022‑02‑17,139,74,56,-4,8,78,192,0,4,76,2010,Band/Group,76,4iZxeyibg6w4EFCOoAQ6Eh,https://open.spotify.com/track/4iZxeyibg6w4EFCOoAQ6Eh,910364592.00
What the Hell,Avril Lavigne,canadian pop,2011,2020‑06‑16,150,93,58,-4,14,88,221,0,5,80,2011,Solo,71,2z4U9d5OAA4YLNXoCgioxo,https://open.spotify.com/track/2z4U9d5OAA4YLNXoCgioxo,430331054.00
What's My Name?,Rihanna,barbadian pop,2010,2022‑02‑17,100,78,69,-3,8,56,263,18,7,75,2010,Solo,73,6DkXLzBQT7cwXmTyzAB1DJ,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ,580423744.00
Whatcha Say,Jason Derulo,dance pop,2010,2022‑02‑17,144,71,62,-6,14,71,221,4,8,72,2010,Solo,66,67T6l4q3zVjC5nZZPXByU8,https://open.spotify.com/track/67T6l4q3zVjC5nZZPXByU8,696637062.00
Whatever It Takes,Imagine Dragons,modern rock,2017,2021‑01‑28,135,66,67,-5,12,56,201,4,3,84,2017,Band/Group,81,6Qn5zhYkTa37e91HC1D7lb,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb,1383179260.00
When I Was Your Man,Bruno Mars,dance pop,2012,2020‑06‑11,73,28,61,-9,9,39,214,93,4,89,2013,Solo,87,0nJW01T7XtvILxQgC5J7Wh,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,2407376211.00
When We Collide,Matt Cardle,talent show,2011,2022‑02‑17,82,68,44,-6,31,45,226,2,3,52,2010,Solo,36,6FSxwdN08PvzimGApFjRnY,https://open.spotify.com/track/6FSxwdN08PvzimGApFjRnY,12895769.00
When We Stand Together,Nickelback,alternative metal,2011,2020‑06‑16,188,90,45,-4,4,88,191,0,5,71,2011,Band/Group,64,4bCOAuhvjsxbVBM5MM8oik,https://open.spotify.com/track/4bCOAuhvjsxbVBM5MM8oik,248348641.00
When We Were Young,Adele,british soul,2015,2020‑06‑08,144,60,38,-6,10,27,291,30,5,79,2016,Solo,71,7GgWAITsYJaRM3r50rfh5w,https://open.spotify.com/track/7GgWAITsYJaRM3r50rfh5w,1389165287.00
